"STATION","DATE","DP01","TAVG"
"USW00013722","2020-01","14","47.0"
"USW00013722","2020-02","13","48.2"
"USW00013722","2020-03","11","58.0"
"USW00013722","2020-04","13","59.4"
"USW00013722","2020-05","12","65.3"
"USW00013722","2020-06","8","76.0"
"USW00013722","2020-07","11","82.3"
"USW00013722","2020-08","14","79.8"
"USW00013722","2020-09","11","70.5"
"USW00013722","2020-10","8","64.4"
"USW00013722","2020-11","7","55.8"
"USW00013722","2020-12","11","43.4"
"USW00013722","2021-01","13","41.0"
"USW00013722","2021-02","14","42.4"
"USW00013722","2021-03","10","54.7"
"USW00013722","2021-04","7","60.3"
"USW00013722","2021-05","11","66.7"
"USW00013722","2021-06","10","76.0"
"USW00013722","2021-07","8","79.2"
"USW00013722","2021-08","12","80.8"
"USW00013722","2021-09","5","72.9"
"USW00013722","2021-10","8","66.1"
"USW00013722","2021-11","4","48.9"
"USW00013722","2021-12","7","52.6"
"USW00013722","2022-01","9","39.8"
"USW00013722","2022-02","9","47.9"
"USW00013722","2022-03","11","56.4"
"USW00013722","2022-04","6","62.0"
"USW00013722","2022-05","12","71.5"
"USW00013722","2022-06","7","78.5"
"USW00013722","2022-07","15","82.8"
"USW00013722","2022-08","9","79.9"
"USW00013722","2022-09","7","73.8"
"USW00013722","2022-10","8","60.3"
"USW00013722","2022-11","8","56.1"
"USW00013722","2022-12","10","43.3"
"USW00013722","2023-01","14","49.5"
"USW00013722","2023-02","11","53.9"
"USW00013722","2023-03","14","54.8"
"USW00013722","2023-04","10","63.5"
"USW00013722","2023-05","11","66.8"
"USW00013722","2023-06","10","74.8"
"USW00013722","2023-07","10","82.3"
"USW00013722","2023-08","11","81.0"
"USW00013722","2023-09","7","73.9"
"USW00013722","2023-10","4","63.6"
"USW00013722","2023-11","4","52.1"
"USW00013722","2023-12","8","49.2"
"USW00013722","2024-01","12","45.2"
"USW00013722","2024-02","9","49.1"
"USW00013722","2024-03","9","57.0"
"USW00013722","2024-04","7","64.3"
"USW00013722","2024-05","14","72.9"
"USW00013722","2024-06","5","80.9"
"USW00013722","2024-07","16","82.5"
"USW00013722","2024-08","8","79.5"
"USW00013722","2024-09","14","74.2"
"USW00013722","2024-10","2","63.8"
"USW00013722","2024-11","9","57.1"
"USW00013722","2024-12","9","46.6"
